pmid,title,abstract,year
41444326,Whole transcriptome analysis reveals T cell signaling activation in septic patients with thrombocytopenia.,"Sepsis, a life-threatening condition triggered by a dysregulated immune response to infection, remains one of the leading causes of mortality worldwide. Thrombocytopenia, a common sepsis complication, is linked to poor outcomes and reflects disease severity and specific immunological changes affecting patient outcomes. This study aimed to investigate transcriptomic differences between septic patients with and without thrombocytopenia and to explore immune features related to clinical outcomes using whole-transcriptome RNA sequencing (RNA-Seq). We conducted a prospective study on 52 patients who were admitted to ICU for sepsis, including 22 with thrombocytopenia and 30 without. Blood samples were collected on both day 1 and 8, and RNA-Seq was performed to analyze transcriptomic profiles. Differentially expressed genes (DEGs) were identified, and functional enrichment analyses were conducted to explore biological pathways and processes. T-cell receptor (TCR) diversity was assessed using MiXCR and VDJTools software. Thrombocytopenic critically ill septic patients exhibited significantly higher Sequential Organ Failure Assessment (SOFA) scores and mortality rates compared to non-thrombocytopenic patients. Transcriptomic analysis revealed distinct gene expression profiles between the two groups, with marked upregulation of myeloproliferative and T-cell activation signaling pathways in thrombocytopenic patients on day 1. Additionally, TCR diversity counts showed no statistically significant differences between thrombocytopenic and non-thrombocytopenic patients at day 1 or day 8. Thrombocytopenia in septic ICU patients is associated with altered heme/porphyrin metabolism, erythrocyte development, and immune activation. Lower TCR diversity on day 1 in thrombocytopenic patients suggests early immune repertoire perturbations; however, these findings should be interpreted cautiously and validated with targeted immune repertoire sequencing.",2025
41438736,Significance and challenges of immunopharmacogenomics.,"Pharmacogenomics traditionally examines how inherited genetic variations influence drug metabolism, pharmacodynamics, and toxicity. Recent advances have highlighted the immune system as a critical determinant of therapeutic efficacy and safety. Immunopharmacogenomics integrates genetic information, particularly HLA polymorphisms and immune repertoire dynamics of T-cell and B-cell receptors (TCRs and BCRs), to explain interindividual differences in drug responses, immune-related toxicities/diseases. This review summarizes how HLA diversity, immune repertoire heterogeneity, and tolerance mechanisms shape therapeutic outcomes across diverse clinical contexts, including immune-mediated adverse drug reactions, cancer immunotherapy, graft-versus-host disease, autoimmune disorders, food allergy, transplantation, and vaccination. Emerging evidence indicates that immune repertoire sequencing captures dynamic clonal shifts and diversity alterations associated with disease states and treatment responses, providing both mechanistic insight and predictive biomarkers. By integrating genetic and immune repertoire analyses, immunopharmacogenomics establishes a framework for individualized prediction, safer drug design, and more precise immunotherapies, thereby advancing the next phase of precision medicine.",2025
41424382,Identification of Sjögren's disease-associated T cell receptor motifs through deep sequencing.,"CD4+ T cells predominate lymphocytic foci found in the salivary glands (SGs) of Sjögren's disease (SjD) cases. Yet little is known about T cell receptor (TCR) repertoire features that distinguish cases from healthy controls (HCs), the relationship between SG and peripheral blood (PB) repertoires of cases, and antigens recognized by pathogenic T cell clones. We performed deep sequencing of bulk-sorted CD4+CD45RA- PB T cells from SjD cases and matched HCs, and single-cell TCR sequencing of the same T cell population from labial SG biopsies of these cases. We found that clonally expanded SG CD4+ T cells expressed complementarity-determining region 3 (CDR3) sequences that were also detected in multiple copies in the blood of the same individuals with SjD. SjD cases displayed a ""private"" and restricted PB TCR repertoire with reduced clonotype diversity. We identified SjD-associated TCR motifs with the same putative antigen specificity shared between SGs and PB of cases. Their abundances in PB correlated with reduced salivary flow, linking these T cells with pathogenic disease features. Finally, we discovered 2 Ro60 epitopes eliciting an HLA-restricted immune response from expanded SG T cell clones. The comprehensive characterization of SjD TCR repertoires enables the discovery of target antigens and therapeutic strategies.",2025
41415800,Shared donor-recipient γδ T-cell phenotypic and repertoire features associate with cytomegalovirus reactivation after allogeneic haematopoietic stem cell transplantation.,"Allogeneic haematopoietic stem cell transplantation (HSCT) is the only curative therapy for patients diagnosed with acute myeloid leukaemia (AML) and myelodysplastic syndrome (MDS). γδ+ T-cells, a rare subpopulation of T-cells with both innate and adaptive anticancer functions, have been understudied and the role of different γδ+ T-cell subsets after HSCT is unclear.",2025
41415478,Analysis of the TCRβ repertoire characteristics when combining radiotherapy and immunotherapy in cancer.,"Cancer is a global public health concern. Radiotherapy (RT) and immunotherapy are increasingly used in cancer treatment, but the specific immune mechanisms underlying their effects remain to be elucidated. The present study analyzed publicly available datasets, in which the T-cell receptor β chain (TCRβ) repertoire in tumor-bearing mice treated with RT and immunotherapy, as well as the TCR repertoire of T cells derived from hematopoietic stem cells (HSCs) of mice exposed to radiation doses of 0, 10 and 100 mGy were comprehensively evaluated. The results of the present study indicated that the diversity of the TCRβ complementarity-determining region 3 (CDR3) in tumor-bearing mice decreased after RT, anti-cytotoxic T-lymphocyte-associated protein-4 (CTLA-4) and anti-programmed cell death protein-1 (PD-1) treatment, especially in the RT and RT + anti-CTLA-4 or anti-PD-1 treatment groups. Furthermore, the CDR3 length markedly decreased in the RT group and markedly increased in the anti-CTLA-4 and anti-PD-1 groups. Next, the TCR profile of T cells differentiated from HSCs exposed to different radiation doses was examined. As the radiation dose increased, the TCRβ diversity in mice gradually decreased and the degree of clonal expansion markedly increased, the percentage of private sequences (unique sequences detected in only a single mouse) was markedly increased and the degree of overlap was markedly decreased. Furthermore, there was a notable difference in the usage frequency of TCRβ chain variable/joining gene segments among the different radiation dose groups. The present study demonstrated that RT and immunotherapy may alter the TCR repertoire owing to their effects on HSCs.",2026
41415427,Phenotypic and functional characterization of tumor-reactive T cells in malignant pleural effusions.,"Adoptive cell therapy using tumor-infiltrating lymphocytes (TIL) is approved for the treatment of advanced melanoma but is limited by the need for patients to undergo surgical tumor resection. Malignant pleural effusions (MPE) may represent a more accessible source of tumor-reactive T cells. Here, we characterize the cellular composition as well as the transcriptional and functional properties of T cells from MPE compared with pulmonary metastasis and blood from a patient with melanoma.",2025
41407706,Resistance potential of the HLA-A2-restricted immunodominant SARS-CoV-2-specific CD8,"A major concern of COVID-19 is immune escape. While T cells are implicated in protection against severe disease, direct evaluation of their capacity to specifically target SARS-CoV-2 variants remains limited. We aim to narrow this gap by profiling the ability of CD8",2025
41399253,Pre-vaccine immune profiling in cancer patients identifies correlates of COVID-19 vaccine responses.,"mRNA vaccines have been highly effective against SARS-CoV-2-related severe illness and are currently undergoing investigation as anti-cancer therapeutics. Our prior work has shown that patients undergoing cancer therapy have reduced immune responses to mRNA-based vaccines. Therefore, further investigation into immunologic responses in the setting of immune-altered hosts is warranted. In this study, we investigated pre-vaccination peripheral immune cell repertoire from a cohort of 66 patients with cancer on active treatment. Immune cell repertoire was characterized by mass cytometry to identify key immune subsets for COVID-19 vaccine response. Immunological populations were then assessed for their association with spike-specific antibody titers measured by ELISA and the breadth and depth of T-cell response to vaccine by TCR sequencing. Immune features significantly correlated with response were selected using an iterative bootstrapping model. We identified immunological features including abundance and functional state of T and B cells, expression of co-stimulatory and -inhibitory molecules, and presence of innate lymphoid cells, and myeloid-derived suppressor cells correlated with humoral and cellular responses. Our findings suggest that vaccine-induced immune responses could serve as biomarkers of immune fitness, in general and specifically for patients receiving anti-cancer mRNA vaccines, providing insights to tailor future therapeutic strategies for immune-altered patients.",2025
41394813,Unique TCR loci architecture in newts: TRA and TRD separation in ,"T cell receptors (TCRs) are central components of the adaptive immune system, yet the genomic organization of TCR-encoding loci is highly complex and has been fully characterized in only a handful of vertebrate taxa. Many important lineages remain largely uncharted, with notable gaps in ectothermic groups. This gap is especially pronounced in amphibians, particularly salamanders (Urodela), where enormous genome sizes have long hindered the availability of high-quality reference sequences. Here, using a recently published chromosome-scale, haplotype-resolved genome of the Iberian ribbed newt, ",2025
41394686,"REFLEX, a Novel Immune Profiling Assay, Combining TCR Repertoire and Multiome at Massively Scalable Single-cell Resolution to Catapult Exploration of T-cell Derived Immunity.","Single-cell profiling of T cell state with immune repertoire is critical for understanding heterogenous T cell phenotypes and responses to antigen, however, existing technologies struggle to generate this information at sufficient throughput to match biological complexity. We present ""REFLEX"", a novel single-cell method enabling highly scalable, cost-efficient, multiomic profiling with paired-chain TCR sequencing. REFLEX utilizes in-situ reverse transcription with integrated sample multiplexing barcodes in a way that merges seamlessly with the commonly used 10x FLEX platform to allow capture of TCR sequences at unprecedented scale and depth. We profile >2 million cells from CMV-peptide-pulsed T cell expansions, capturing TCR sequences and rich multiomic information from 1.4M T cells, identifying many putative novel CMV reactive clonotypes and illustrating the scale and transformative impact on our understanding of T cell mediated adaptive immunity achievable with REFLEX.",2025
41383601,Deep exploration of the TCR CDR3β repertoire specific for viral CD4 T-cell epitopes inside the circulating T-cell repertoire.,This study provides an in-depth analysis of the diversity of the CD4 TCR CDR3β repertoire specific to influenza A (HA) and Epstein-Barr virus (EBNA) epitopes.,2025
41376632,TCR repertoire of human cytotoxic CD4 T cells responding to betaherpesviruses HHV-6B and HCMV.,"The role of CD4 T cells in the control of viral infections beyond their traditional helper activity has been increasingly recognized, and CD4 T cells with cytotoxic capacity have been reported for the nearly ubiquitous betaherpesviruses HCMV (human cytomegalovirus) and HHV-6B (human herpesvirus 6B).",2025
41376627,"Anti-HER2/neu TCR-T Cells in Action: linking transcriptional signatures, secretomics, and ","T cell receptor-engineered T cell therapy has emerged as a promising approach in cancer immunotherapy, leveraging the ability of T cells to recognize tumor antigens presented on major histocompatibility complex molecules, offering a targeted approach for treating cancers. This study advances previous research conducted at the Laboratory of Molecular Immunology at RIFCI, where the full repertoire of HER2/neu-specific TCRs was identified. Specifically, here we are functionally validating a distinct TCR clonotype targeting the KIFGSLAFL peptide of HER2/neu protein presented by the HLA-A*02.",2025
41364757,HLA-DQB1*03:01 strongly affects age of onset of type 1 narcolepsy independently of DQA1 and ethnicity.,"Type 1 narcolepsy (T1N), an autoimmune disease associated with a disruption of hypocretin/orexin neurons, has conserved genetic effects transcending cultures and ethnicities. We pooled data from 5,339 cases from China, Europe, Korea, Japan, and the United States to conduct the first transethnic genome-wide association study (GWAS) on age of onset. Only one strong GWAS significant effect was observed across all ethnicities, summarized by the presence of human leukocyte antigen (HLA)-DQB1*03:01, and centered around the coding region of this gene. In contrast, HLA-DQB1*06:02-positive heterodimer (DQ0602) dosage did not strongly affect onset, and other known narcolepsy-associated genetic loci had minor effects. The HLA-DQB1*03:01 effect (mean -3.47 y, ",2025
41355369,Characterization of the Cattle TCR β CDR3 Repertoire and Gene Rearrangement Bias Influenced by Recombination Signal Sequences and Physical Distance.,"Cattle exhibit distinct immune system features, including ultra-long IGH CDR3 regions, which are characteristic of their adaptive immunity. However, less is known about the diversity and functional aspects of their T cell receptor (TCR) β chain complementarity-determining region 3 (CDR3) repertoire. This study aimed to investigate the features of the TCR β chain CDR3 repertoire in cattle using high throughput sequencing. The spleen tissue samples were collected from cattle, and the TCR β CDR3 repertoires were constructed using high-throughput sequencing. Key attributes analyzed included CDR3 length distribution, V and J gene usage, sequence diversity, and specific amino acid enrichment. The analysis also incorporated the impact of recombination signal sequences (RSS) quality and the physical distance on the rearrangement of germline genes. Frequently utilized V and J genes included TRBV7, TRBV6, TRBV14, TRBV21, TRBV29, TRBV5, TRBJ2-2, and TRBJ1-2. A bias in TRBV gene rearrangement was identified, influenced by RSS quality, where genes with RSS information content (RIC) scores below -45 showed reduced rearrangement frequency. The CDR3 length distribution displayed a bell-shaped curve, with a preference for the amino acids serine (S), glycine (G), and alanine (A). Compared to humans and mice, cattle exhibited lower diversity in their TCR β CDR3 repertoire and a higher proportion of dominant clones. This study provides insights into the TCR β CDR3 repertoire in cattle, enhancing our understanding of the species' adaptive immune system. These findings offer valuable insights for future research on the immune repertoire in cattle.",2026
41353535,Plate-based 10X Genomics-compatible single-cell RNA-sequencing based on Smart-seq3xpress.,"10X Genomics (10X) is a leading single-cell RNA-sequencing (scRNA-seq) technology that permits gene expression and T-cell receptor (TCR) repertoire profiling. However, its microfluidics-based approach restricts direct pairing of upstream indexed single-cell sorting with downstream scRNA-seq data and poses challenges for cost-effective profiling of small-scale cell populations.",2025
41352538,A decreased proportion of naïve MAIT cells is associated with the incomplete immune reconstitution in antiretroviral therapy-treated HIV-1 patients.,"Incomplete immune reconstitution occurs in 10%-40% of antiretroviral therapy (ART)-treated human immunodeficiency virus (HIV) patients. This subset of immunological non-responders (INRs) has yet to undergo a comprehensive analysis of immunological profiles, and no definitive cytological diagnosis has been established. In this study, we comparatively analyzed the immunological profiles of INRs, immunological responders (IRs), and healthy control individuals (HCs) via single-cell RNA sequencing (scRNA-seq) and single-cell T-cell receptor (TCR) repertoire sequencing of peripheral blood mononuclear cells (PBMCs), and identified a relatively small population of mucosal-associated invariant T (MAIT) cells in INRs. This finding was recapitulated in rhesus macaques infected with simian immunodeficiency virus (SIV). Specifically, the population of the naïve MAIT cell subtype was significantly lower in INRs than in IRs, and the majority of MAIT cells were CD8",2025
41309794,Assessing data size requirements for training generalizable sequence-based TCR specificity models via pan-allelic MHC-I point-mutation ligandome evaluation.,"Rapid identification of T cell receptors (TCRs) that specifically bind patient-unique neoepitopes is a critical challenge for personalized TCR-based therapies in oncology. Due to enormous diversity of both TCR and neoepitope repertoires, a machine learning predictor of TCR-pMHC specificity for personalized therapy must generalize to TCRs and epitopes not seen in the training data. We estimate the necessary size of such training data. We first confirm that published models fail to generalize beyond a single-residue dissimilarity to the epitope training set distribution. We then impute the point-mutation ligandome across the 34 most prevalent human MHC alleles and represent it as a graph based on our established dissimilarity cutoff. By finding the dominating set of this graph, we estimate that between one and 100 million epitopes are required to train a generalizable sequence-based TCR specificity prediction model-1000 times the size of current public data.",2025
41308653,Deep profiling of human T cells defines compartmentalized clones and phenotypic trajectories across blood and tonsils.,"98% of T cells reside in tissues, yet nearly all human T cell analyses are performed on peripheral blood. We performed single-cell sequencing of 5.7 million T cells from autologous blood and tonsils of ten donors. We identified distinct patterns of clonal expansion associated with tonsil-restricted phenotypes. Clonal sharing between blood and tonsils was lower than previous estimates and increased with age. Identical T cell receptor (TCR) sequences exhibited limited concordance in their phenotypes across compartments. Furthermore, location dictated the frequencies, clonal dominance, and phenotypes of antigen-specific T cells. Using immune organoids, we showed that antigen exposure drives functionally distinct T cell clones from naive or tissue-resident memory pools. Finally, we demonstrate that chronic infections influence TCR repertoire diversity differently in blood and tonsil-resident T cells. These data highlight the necessity of accounting for tissue-specific contexts to accurately measure the TCR repertoire and monitor T cell responses following perturbing therapies.",2025
41301172,Peripheral Blood TCR Clonotype Diversity as a Biomarker for Colorectal Cancer.,"There exists an urgent need to improve colorectal cancer (CRC) diagnosis due to limitations in current diagnostic approaches. Systematic characterization of the human T cell receptor (TCR) repertoire, coupled with advanced computational methods, provides a promising opportunity to develop more accurate and less invasive diagnostic strategies for this major malignancy. The main objective of this work is to establish a TCR repertoire-based diagnostic model for CRC using machine learning algorithms and to identify the most significant features contributing to accurate diagnosis. Through comprehensive comparative analysis of several machine learning algorithms, our results demonstrated that the Transformer model exhibited superior performance capabilities. The trained model achieved an area under the receiver operating characteristic curve (AUC) of 0.973 in predicting disease status in the internal test set. Furthermore, TCR repertoire analysis from the independent test set demonstrated robust predictions with an AUC of 0.814. Notably, we identified a panel of 50 TCR repertoire features that showed a diagnostic AUC of 0.869 using these 50 TCR CDR3 sequences. Together, this TCR repertoire-based disease model demonstrates significant potential for clinical applications in CRC diagnosis and treatment response monitoring. Furthermore, similar diagnostic models could be established for other immune-related diseases based on disease-specific TCR repertoire data.",2025
41286199,"TIRTL-seq: deep, quantitative and affordable paired TCR repertoire sequencing.","The specificity of T cells is determined by T cell receptor (TCR) α and β chain sequences. While bulk TCR sequencing enables cost-effective repertoire profiling without chain pairing information, single-cell approaches provide paired data but are costly and limited in throughput. Here we present throughput-intensive rapid TCR library sequencing (TIRTL-seq), an experimental and computational methodology for paired TCR repertoire sequencing (TCR-seq). TIRTL-seq is based on the parallel generation of hundreds of TCR libraries in 384-well plates at less than US$200 per plate, allowing cohort-scale paired TCR-seq studies. We benchmarked TIRTL-seq against state-of-the-art bulk TCR-seq and 10x Genomics Chromium technologies on longitudinal samples and identified severe acute respiratory syndrome coronavirus 2- and Epstein-Barr virus-specific clonal expansions after infection with distinct dynamics. TIRTL-seq offers a universal protocol scalable from a single cell to millions of T cells per sample, simultaneously delivering both precise clonal frequency estimation and accurate TCR chain pairing, combining the strengths of bulk and single-cell TCR-seq.",2026
41286177,Discovery and validation of proliferative exhausted T cells as a favorable prognostic biomarker in esophageal squamous cell carcinoma.,"Esophageal squamous cell carcinoma (ESCC) is an aggressive malignancy with limited therapies and poor prognosis. While exhausted T cell (Tex) heterogeneity under chronic antigen stimulation is recognized, the role of Tex subsets in shaping the tumor microenvironment (TME) and influencing ESCC outcomes remains unclear. We integrated single-cell RNA sequencing, TCR sequencing, microarray, and bulk RNA sequencing to dissect Tex cells. We identified a novel proliferative Tex (prolif Tex) subset across discovery and validation cohorts, with high infiltration correlating significantly with an improved patient survival. Pseudotime trajectories suggested prolif Tex originated from Tex cells, while TCR sequencing revealed clonal expansion and shared receptor repertoires between Tex and prolif Tex. Neoadjuvant chemo-immunotherapy reduced prolif Tex proportions and differentiation potential in ESCC samples. A machine learning-derived prognostic model was developed using prolif Tex subset-specific genes and validated via qRT-PCR using in-house ESCC samples. Experimental validation confirmed differential expression of candidate genes in tumors versus normal tissues, with high ESCO2 expression linked to prolonged survival. Our findings unveil prolif Tex cells as a novel TME subset in ESCC, where its abundance predicts favorable outcomes. The prolif Tex-based prognostic model demonstrates strong prognostic value and validated hub genes offer potential biomarkers and therapeutic targets. Our findings underscore the potential of prolif Tex cells as a biomarker and therapeutic target in ESCC.",2025
41280903,A fingerprint approach to pioneer structure-based T cell receptor repertoire analysis and specificity prediction.,"The development of cancer immunotherapy has accelerated in recent years. Understanding the specificity of T cell receptors (TCR) for peptides presented by the major histocompatibility complex (pMHC) is a critical step towards improving immunotherapy approaches, such as adoptive cell transfer and peptide vaccination. Despite notable computational advances, the unambiguous pairing of TCR with pMHC, from pools of thousands of candidates and unseen pMHC, remains elusive.",2025
41279250,Pigs lacking Natural Killer T cells have altered cellular responses to influenza.,"It is increasingly recognized that innate T cells such as natural killer T (NKT) cells, mucosal associated invariant T (MAIT) cells, and γδ T cells play an important role in shaping adaptive immune responses following influenza infection or vaccination. This is largely through the multiple cytokines these cells release upon activation, which have downstream effects on the scope and magnitude of virus-specific T and B cells, and antibodies which form. Here, we examined the contribution of NKT cells using pigs, which are considered a highly translational model of human influenza A infection. ",2025
41279151,Atomistic TCR-ligand interactions instruct memory T-cell differentiation.,Memory T cells endow the mammalian host with an essential form of adaptive immunity that generates durable and rapid protection following re-exposure to an infectious pathogen or a cancerous transformation,2025
41275012,Systemic activation and tissue infiltration of CD8 + CX3CR1 + T cells in non-small cell lung cancer treated with neoadjuvant immune checkpoint blockade.,"Neoadjuvant immune checkpoint blockade (NA-ICB) shows promise in treating resectable and locally advanced non-small cell lung cancer (NSCLC), yet the specific T cell subtypes that expand and become functionally reactivated remain incompletely characterised.",2026
41274384,Autonomic dysfunction and vasoregulation in long COVID-19 are linked to anti-GPCR autoantibodies.,Severe acute respiratory syndrome coronavirus 2-triggered autoantibodies (AABs) targeting G protein-coupled receptors have been suggested to contribute to the post-acute sequelae of coronavirus disease 2019 (or post-COVID-19 syndrome [PCS]).,2026
41273773,Multidimensional single-cell analysis reveals immune dysfunction and inflammatory response in Lymphatic malformations.,"Lymphatic malformations (LMs) are debilitating and potentially life-threatening diseases. However, the immune phenotype of circulating cells and underlying molecular mechanisms in LMs remain poorly understood. Here, we performed integrated single-cell RNA, T-cell receptor, and B-cell receptor sequencing (scRNA-seq, scTCR-seq, and scBCR-seq) of peripheral blood and pleural effusion from patients with LMs to delineate their immune landscape. We identified an expansion of pro-inflammatory CD14+CD16+ monocytes and atypical memory B cells, accompanied by reduced cytotoxic CD8+ T and NK cells. Functional analysis revealed impaired antigen processing and presentation in CD14+ monocytes, and dysregulated transcription factor activity, potentially driving immune dysfunction. Additionally, LMs exhibited substantial remodeling of TCR and BCR repertoires, with shifts in clonality and diversity. Moreover, the CXCL16-CXCR6 interaction was associated with inflammatory responses, while upregulation of the inhibitory checkpoint HLA-E: CD94-NKG2A potentially contributed to impaired NK cell activity. Finally, we constructed a shared pro-inflammatory monocyte program and revealed S100A8 as a potential therapeutic target for LMs. We further demonstrated that S100A8 pharmacological inhibition could ameliorate the pathological lymphatic malformation phenotype. Collectively, our findings delineate cell type-specific immune dysregulation in LMs, offering insights for therapeutic development.",2025
41269034,Immune Receptor Repertoire Analyses Reveal Dynamics of Adaptive Immunity in Acute Invasive Fungal Sinusitis.,"Acute invasive fungal sinusitis (AIFS) is a highly fatal infection affecting immunocompromised patients. While defects in innate immunity have been studied as the primary focus in AIFS, adaptive immunity has yet to be explored in this condition.",2026
41267983,Serial TIL infusions and PD-1 blockade drive long-term clonal persistence in prostate cancer.,"Adoptive cell therapy using tumor-infiltrating lymphocytes (TIL) can achieve durable responses in patients with metastatic cancers, but the long-term clonal dynamics after multiple administration and synergy with checkpoint blockade remain understudied. We present a longitudinal case study of a patient with treatment-refractory metastatic prostate cancer that achieved complete and durable tumor remission over 5-years after multiple TIL infusions and anti-PD-1 therapy. We performed longitudinal high-throughput T-cell receptor (TCR) sequencing on blood and tumor samples collected over five years to track the persistence and dynamics of TIL-derived and endogenous clonotypes. TIL-derived clonotypes exhibited sustained persistence in blood, with notable clonal expansions correlating with reduced repertoire diversity, increased clonality, and observed clinical response. Multiple TIL administration increased the patient exposure to the therapy, improving its pharmacokinetics profile over time. The third TIL infusion was followed by pembrolizumab administrations, which coincided with the re-expansion of TIL-derived clonotypes and emergence of novel clones. Serial tracking revealed clonotype stability for up to five years post-treatment. Our findings provide insights into the long-term persistence and reactivation of TIL-derived immunity and illustrate the potent synergy between adoptive transfer and PD-1 blockade by enhancing both infused and endogenous tumor-reactive T cell responses, and supporting the integration of longitudinal immunogenomic monitoring in personalized immunotherapy.",2025
41266384,Tissue and peripheral T cell receptor repertoire predicts immunotherapy response and progression-free survival in NSCLC patients.,"Immunotherapy has opened new avenues of treatment for patients with advanced non-small cell lung cancer (NSCLC) without previous hope of survival. Unfortunately, only a small percentage of patients benefit from it and there is not an effective biomarker to predict patients' response. Since T cells are key effectors of antitumor immunity, T cell receptor (TCR) has emerged as a potential predictive biomarker. Here, we evaluated the potential of baseline TCR repertoire, as a predictive biomarker in advanced NSCLC patients treated with pembrolizumab at first-line. After obtaining peripheral blood and tissue samples at baseline, next-generation sequencing targeting TCRβ/γ was performed. We found an uneven tumor-infiltrating TCRβ repertoire, and the use of various tumor-infiltrating and circulating TRBV/J genes were able of predicting the immunotherapy response. Our results support the potential of evaluating tissue and circulating TCRβ repertoire prior to pembrolizumab, revealing it as a promising immunotherapy response biomarker in NSCLC patients.",2025
41266303,Dynamic transcriptional immune landscape in response to NK-cell therapy combined with gemcitabine plus S-1 in advanced pancreatic cancer: a phase 1b/2 trial.,"Despite advancements in several malignancies, the treatment atlas of natural killer (NK) cell therapy for pancreatic cancer remains inadequate, and the dynamic immune landscape underlying the various responses is still incompletely understood. This phase 1b/2 trial evaluated the safety and efficacy of allogeneic NK cell therapy combined with gemcitabine and S-1 as a first-line treatment for advanced pancreatic cancer (APC) and explored the dynamic responsive immune landscape (ChiCTR1900021764). The administration of 1 × 10",2025
41244934,Harnessing TCR repertoires: predictive insights and therapeutic monitoring in cancer immunotherapy.,"The T-cell receptor (TCR) repertoire, representing the vast diversity of T cells, is a cornerstone of adaptive immunity and a powerful tool in oncology. Advances in high-throughput sequencing have enabled deep profiling of TCR diversity and clonality, highlighting the repertoire as a promising biomarker for cancer diagnosis, prognosis and therapeutic monitoring. This review synthesizes the current understanding of TCR repertoire analysis in cancer care. Distinct TCR features in tumors and peripheral blood can differentiate cancer patients from healthy individuals and help stage disease. Prognostically, a focused, clonal intratumoral repertoire is often associated with improved survival, whereas high diversity in peripheral blood typically reflects robust immune competence and better outcomes. In cancer immunotherapy, TCR profiling offers predictive insights; high baseline tumor clonality frequently correlates with response to anti-programmed cell death protein 1/programmed death-ligand 1 inhibitors, while greater peripheral diversity may predict benefit from anti-cytotoxic T-lymphocyte-associated protein 4 (anti-CTLA-4) therapy. Dynamic monitoring often shows an increase in clonality in patients responding to treatment. Furthermore, TCR analysis is integral to optimizing and tracking adoptive cell therapies and cancer vaccines. Despite this potential, significant challenges, including a lack of methodological standardization, currently limit widespread clinical application. Integrating TCR analysis with multi-omic and single-cell technologies is essential to overcoming these hurdles and advancing personalized immunotherapy.",2025
41241821,Peptide-driven identification of TCRs reveals dynamics and phenotypes of CD4 T cells in tuberculosis.,"Assigning antigen specificity to T cell receptor (TCR) sequences is challenging due to the TCR repertoire's diversity and the complexity of TCR-antigen recognition. We developed the peptide-driven identification of TCRs (PDI-TCR) assay that combines in vitro expansion of cells with peptide pools, bulk TCR sequencing, and statistical analysis to identify antigen-specific TCRs from human blood. A key feature of PDI-TCR is the ability to distinguish true antigen-specific TCR clonotypes from TCRs associated with unspecific bystander activation by comparing responses to nonoverlapping peptide pools. We applied PDI-TCR to tuberculosis (TB) patients, sampling blood at diagnosis and throughout treatment, and Mycobacterium tuberculosis (Mtb)-sensitized healthy individuals (IGRA+). We identified hundreds of Mtb-specific TCRs, as well as unspecific TCRs, and characterized their phenotype in each cohort by single-cell RNA sequencing ex vivo. Mtb-specific T cells were highly diverse, with short-lived effector phenotypes only present in TB at diagnosis, while memory phenotypes were maintained through treatment. In contrast, unspecific expanded T cells were more clonally restricted, had a cytotoxic phenotype, and were maintained throughout treatment. While the PDI-TCR parameters used in this study are specific to Mtb, the underlying approach is broadly applicable to the study of antigen-specific T cells and can be adapted as needed for other antigen systems. Thus, PDI-TCR is a powerful tool for identifying antigen-specific TCRs and enables direct ex vivo identification and monitoring of antigen-specific T cells.",2026
41235176,Oncolytic measles virotherapy encoding the neutrophil-activating protein is effective in synovial sarcoma.,"Synovial sarcoma (SS) is an aggressive mesenchymal malignancy that is refractory to treatment with immune checkpoint inhibitor-based therapy. We investigated the infiltrating T cell immune status in archived patient samples and tested the efficacy of an oncolytic measles virus (MV) encoding the secretory form of the neutrophil-activating protein (s-NAP) in SS. To assess T cell infiltration, we performed T cell receptor (TCR) sequencing on archived formalin-fixed, paraffin-embedded specimens, comparing SS with undifferentiated pleomorphic sarcoma (UPS), a highly immunogenic sarcoma. Patients with SS had significantly lower T cell infiltration, reduced clonality, and higher TCR diversity than those with UPS. No differences were observed in the T cell repertoire between monophasic and biphasic SS or between primary and metastatic SS samples. Oncolytic MV-s-NAP infection of validated monophasic and biphasic SS cell lines demonstrated dose-dependent killing in all cell lines tested and a significant increase in proinflammatory markers compared to untreated controls. Additionally, repeated intratumoral injections of MV-s-NAP in an SYO-1 SS xenograft model demonstrated significant anti-tumor effects ",2025
41209021,Distinct characteristics of T cell receptor repertoire associated with the SARS-CoV-2 reinfection.,"The COVID-19 pandemic, caused by SARS-CoV-2, represents one of the most profound global public health challenges in modern history. While T cell immunity is crucial for viral clearance, the dynamics of the T cell receptor (TCR) repertoire during reinfection remain poorly understood. This study sought to characterize the TCR repertoire in peripheral blood T cells from healthy convalescent individuals (HC), patients with primary SARS-CoV-2 infection (PI), and reinfected individuals (RI), aiming to identify distinct TCR signatures linked to susceptibility or protection against reinfection. We enrolled 48 age- and sex-matched participants (18 PI, 18 RI, 12 HC), collecting blood samples during acute infection (PI/RI) or convalescence (HC). Deep TCRα/β sequencing was performed using the SMARTer Human TCR Profiling Kit with unique molecular identifiers (UMIs), followed by analysis of TCR repertoire diversity, clonal expansion, V(D)J gene usage, and CDR3 characteristics. Compared to HC, both PI and RI groups exhibited significantly reduced TCR diversity (",2025
